# wavelength, Lum, Lum_error
3680.2490, 3.662926821e+25, 1.529727006e+24
3680.3104, 3.657530218e+25, 1.528050071e+24
3680.3718, 3.652133524e+25, 1.526373381e+24
3680.4332, 3.646736741e+25, 1.524696939e+24
3680.4946, 3.646974561e+25, 1.524637085e+24
3680.5560, 3.648181447e+25, 1.524855739e+24
3680.6173, 3.649388353e+25, 1.525074943e+24
3680.6787, 3.650595279e+25, 1.525294699e+24
3680.7401, 3.651802226e+25, 1.525515005e+24
3680.8015, 3.653009192e+25, 1.525735862e+24
3680.8629, 3.654216179e+25, 1.525957269e+24
3680.9243, 3.655423185e+25, 1.526179226e+24
3680.9857, 3.656630212e+25, 1.526401733e+24
3681.0471, 3.657837259e+25, 1.526624790e+24
3681.1085, 3.659044326e+25, 1.526848396e+24
3681.1699, 3.660251414e+25, 1.527072551e+24
3681.2313, 3.661458521e+25, 1.527297255e+24
3681.2927, 3.662599685e+25, 1.527549760e+24
3681.3541, 3.662436284e+25, 1.528341514e+24
3681.4155, 3.662272880e+25, 1.529133315e+24
3681.4769, 3.662109474e+25, 1.529925162e+24
3681.5383, 3.661946064e+25, 1.530717056e+24
3681.5997, 3.661782653e+25, 1.531508996e+24
3681.6611, 3.661619238e+25, 1.532300983e+24
3681.7225, 3.661455821e+25, 1.533093015e+24
3681.7839, 3.661292401e+25, 1.533885094e+24
3681.8453, 3.661128978e+25, 1.534677219e+24
3681.9067, 3.660965552e+25, 1.535469390e+24
3681.9681, 3.660802124e+25, 1.536261608e+24
3682.0295, 3.660638693e+25, 1.537053871e+24
3682.0909, 3.660475260e+25, 1.537846180e+24
3682.1523, 3.662469827e+25, 1.538390335e+24
3682.2137, 3.671249879e+25, 1.538154090e+24
3682.2751, 3.680030077e+25, 1.537917842e+24
3682.3366, 3.688810421e+25, 1.537681591e+24
3682.3980, 3.697590912e+25, 1.537445336e+24
3682.4594, 3.706371550e+25, 1.537209078e+24
3682.5208, 3.715152334e+25, 1.536972817e+24
3682.5822, 3.723933264e+25, 1.536736553e+24
3682.6436, 3.732714341e+25, 1.536500285e+24
